Date,Ticker,Open Price,High Price,Low Price,Close Price
2020/1/1,USDJPY=X,108.68000030517578,111.41000366210938,108.62999725341797,108.68099975585938
2020/1/2,USDJPY=X,108.71399688720703,108.86000061035156,108.22100067138672,108.71299743652344
2020/1/3,USDJPY=X,108.54000091552734,108.5510025024414,107.91500091552734,108.54299926757812
2020/1/6,USDJPY=X,107.9990005493164,108.41000366210938,107.9219970703125,107.96399688720703
2020/1/7,USDJPY=X,108.41100311279297,108.61699676513672,108.26100158691406,108.40599822998047
2020/1/8,USDJPY=X,107.97799682617188,109.08899688720703,107.65699768066406,108.01599884033203
2020/1/9,USDJPY=X,109.04900360107422,109.57599639892578,109.04900360107422,109.03099822998047
2020/1/10,USDJPY=X,109.4990005493164,109.67500305175781,109.45600128173828,109.50700378417969
2020/1/13,USDJPY=X,109.53399658203125,109.93499755859375,109.53199768066406,109.56600189208984
2020/1/14,USDJPY=X,110,110.1709976196289,109.89099884033203,109.99199676513672
2020/1/15,USDJPY=X,109.8740005493164,109.99600219726562,109.79199981689453,109.85399627685547
2020/1/16,USDJPY=X,109.8759994506836,110.16999816894531,109.8759994506836,109.88300323486328
2020/1/17,USDJPY=X,110.16899871826172,110.2750015258789,110.05799865722656,110.17500305175781
2020/1/20,USDJPY=X,110.19499969482422,110.21299743652344,110.11399841308594,110.18000030517578
2020/1/21,USDJPY=X,110.17900085449219,110.21800231933594,109.86199951171875,110.1729965209961
2020/1/22,USDJPY=X,109.91899871826172,110.0770034790039,109.83699798583984,109.90799713134766
2020/1/23,USDJPY=X,109.73600006103516,109.75,109.26899719238281,109.72799682617188
2020/1/24,USDJPY=X,109.56500244140625,109.64600372314453,109.30500030517578,109.552001953125
2020/1/27,USDJPY=X,108.81400299072266,109.13200378417969,108.81400299072266,108.802001953125
2020/1/28,USDJPY=X,108.92900085449219,109.18800354003906,108.76200103759766,108.91999816894531
2020/1/29,USDJPY=X,109.12999725341797,109.22599792480469,108.99400329589844,109.13200378417969
2020/1/30,USDJPY=X,108.99600219726562,109.03800201416016,108.65699768066406,108.98699951171875
